This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
db0ade5d68de97524c611a3f58443b0b706ed0ab1ca8f7bf6eeca36ec250e380 21 21 1191 145
8aa23fcc0049354e951ba7f67b5ab957f788023e44b25e8dd23e14a365f81e55 18 12 1692 56
bd3221136e49f84c9cbeb4017b8913e30d3b5cb6e177e05beb79534144a33d94 45 45 10505 6627
33739b095773df849c347647dd46632e6765d83365858dccd4829b5022da5528 139 139 88553 44916
76edc315662c12a241b31f442682bdc60465c1db27322b783798a855421270fe 18 18 4631 757
dd4b04f6f5a64a594859a3ccc4ed93dd5cbeb2cc52d664bd69357a2d32c1dde8 15 13 11620 1034
80f60463cb4de9ac3df63c2b05848a8e72a3d97b950a15d563a90b1979325c80 6 3 29 1
ae0aeabdba17019b5a076274f0da6e8573a57f7091da0793bdffc5dd5dba6c9e 23 0 0 0
3f961f71a83f8f4115799fe4cb15d26329c7f80ddddd1a88dd4645f49db6991f 14 0 0 0
a8b958232036c6b05c3cd9fc1976905f681b4e19d75385c398097d83e24c6e06 1 1 22 0
b1e3b201bd0932300b6539b60b0c891030d5efebb747f884aa539ff65789717b 2 2 52 0
a09b0c845dddb41ee01d193cb24ea94c0b2a5eacba4d1b5fc704707e2f65cbfa 54 9 833 499
70a4922c4a316029b408b3f1dc2fb3067ccc9fa84bb98985f53ec779078bf7f2 79 0 0 0
10d2035f57c3d5b376a2fc8d4ced53f02a58995a4d85be1c3530017ec6b229e8 9 9 669 185
49c956d5309553f6467178f5266e048758d6511e195718c5031ae20f8c24c7ae 0 0 0 0
47ad8802db45a8e504e6433f639030be22db55303d6327f1d808221fb6743f3d 12 12 318 128
ef558a16f578dc8be04991b518553c4d5060f845cc1b06b84e5a1652eca40766 1 1 1 0
44302a2456c8522001372c5c23b4a0e53c89f95a1a2407f2ef11270cff345427 18 12 530 231
903f90eb8a3a8ff33354c0665dbae26ab72e7e70ea890236a240646a1e84187f 24 24 233 91
4f5cdb757ebcbe51e112175a0329b2443288bd1e7ae8db2200ab5405ae61d39e 4 4 378 18
99995c7e980abdfac21ad435b4925add520cb8959f4d35d036df3d1d195f4d38 60 60 750865 240568
d222cfb3e944b6808ebfb977dd43126285d97314785c4459f71bf225efee0771 6 6 317 4
cbba7e8c4ac2df2568332147e3181105332747ace308df7e62ea12ad07781760 19 19 2574 133
b4a2e4239dcf44cf28401d62802c77360c8c17ca3b93d1879cd64615d8e215ce 13 13 4426 1645
a735536acb9a90671cfd8ed7d7610c9761bdc4ec94054e257f001eb53699c298 650 8 6557 6572
52915ef28931b798f03d2415ea6e752b43526b0d9a1dff213e1990b20b1f0a47 2 2 627 1
c8d5ac6487993a921efa8b43e2398b2d81a68adc4cf76f87df1540620823946a 9 9 169663 73
1a549b80e7401ac311dcfedc1820ff1fa201e5897009a55a6a00449cdd662188 4 4 28183 33
3e91d27a8f9da2e9f02286a4b861ba7f1881d8884ac7aade646090d11406fb8e 2 2 98 0
